,Source,Political Leaning,Content
0,Breitbart Media,Conservative,"Mexican authorities are in a state of high alert over an intelligence alert from U.S. authorities warning about a possible suicide bomber traveling north with a group of four others. Breitbart published a redacted copy of the initial intelligence report from U.S. Border Patrol.



Earlier this week, Breitbart published an exclusive copy of the leaked official document from a source operating under the umbrella of the Department of Homeland Security (DHS). The document, prepared by an intelligence unit within U.S. Border Patrol, quoted information Border Patrol officials received from ICE Homeland Security Investigations about four men and a woman. The woman is a suspected suicide bomber who traveled through Central America into Mexico and is reportedly headed to the U.S.-Mexico border just south of where California and Arizona meet. The area is knows as named San Luis Rio Colorado. The group is expected to cross into California through the All-American Canal “in the coming days.”

In the border city of Mexicali, Public Safety Director Maria Elena Andrade Ramirez confirmed to Mexico’s Revista Proceso that they were in a state of alert as federal and state authorities in Mexico began “Operation Border Shield” as a preventive measure and not a reactionary one.
In the Proceso article written by Jesusa Cervantes, Mexico reportedly received the alert from DHS but does not credit Breitbart News for first publishing that there was an alert in the first place. In a similar fashion, a TV report from KYMA News by Alexandra Rangel, quotes the Mexican police chief and tried to obtain a statement from U.S. Customs and Border Protection but makes no mention of Breitbart News’ initial report and the document published one day prior. Breitbart News contacted Rangel for comment for not crediting the initial report. No response has been received.
Ildefonso Ortiz is an award-winning journalist with Breitbart Texas. He co-founded Breitbart Texas’ Cartel Chronicles project with Brandon Darby and senior Breitbart management. You can follow him on Twitter and on Facebook. He can be contacted at Iortiz@breitbart.com. 
Brandon Darby is the managing director and editor-in-chief of Breitbart Texas. He co-founded Breitbart Texas’ Cartel Chronicles project with Ildefonso Ortiz and senior Breitbart management. Follow him on Twitter and Facebook. He can be contacted at bdarby@breitbart.com."
1,Breitbart Media,Conservative,"Over a dozen Saudi servicemen stationed at U.S. military bases are set to be kicked out of the United States following an inquiry prompted by the deadly shooting at Naval Air Station in Pensacola, Florida, according to a Saturday evening report. Some of the foreign military members are said to be accused of ties to extremists and possessing child pornography.
CNN reports:


The Saudis are not accused of aiding the 21-year-old Saudi Air Force second lieutenant who killed three American sailors in the December shooting, two sources said, but some are said to have connections to extremist movements, according to a person familiar with the situation.
A number are also accused of possessing child pornography, according to a defense official and the person familiar with the situation. Spokespeople for the FBI and Justice Department declined to comment.
About a dozen Saudi trainees at the Pensacola base had been confined to their quarters as the FBI investigated the shooting as a potential terror attack, and the Pentagon initiated a review of all Saudi military trainees in the country, numbering around 850 students.
On December 6th, Mohammed Alshamrani, a second lieutenant in the Saudi Air Force, killed three people and injured eight others after opening fire at the base, a gun-free zone. Alshamrani is believed to have posted the phrase “the countdown has started” on his social media accounts on September 11, 2019, and also reportedly described non-Muslims as “infidels.”

The Saudi national, who was killed during his rampage by a sheriff’s deputy, had also reportedly criticized U.S. military action.
“He basically is saying the same thing that many terrorists before him has said, that the U.S. is the enemy because they attack Muslims overseas or they help other countries attack Muslims overseas. And that’s their justification to attack us,” former FBI agent Brad Garrett said.
The Department of Justice is expected to rule that the shooting was “terrorism,” one U.S. official told CNN.
Florida Gov. Ron DeSantis (R) has said Saudi Arabia, which has pledged its full support over the shooting, will “owe a debt” to victims of a deadly attack.
“One of the things I talked to [President Donald Trump] about is, given this is a foreign national and employee of a foreign service, is … The government of Saudi Arabia needs to make things better for these victims,” De Santis told reporters at the time. “I think they’re gonna owe a debt here given that this is one of their individuals.”"
2,Breitbart Media,Conservative,"An email proves disgraced ex-FBI Director James Comey personally approved an FBI effort to have the wild and unsubstantiated “golden showers” claim about President Trump included in material to be considered for publication in the U.S. Intelligence Community’s official report on alleged Russian interference in the 2016 presidential election.
The Comey email, which has not received media attention until now, was revealed inside the Justice Department’s recently released 476-page Inspector General report on the FBI’s Russia collusion investigation.


The IG report further discloses a separate email in which Andrew McCabe, who served under Comey as the FBI’s deputy director, specifically wanted dossier author Christopher Steele’s unverified “pee” charges against Trump to be included in the body of the January 6, 2017 U.S. Intelligence Community report, known as the ICA, assessing alleged Russian interference efforts.
McCabe opposed a CIA compromise to only reference Steele’s controversial dossier in an appendix of the ICA report, with McCabe arguing for it to be included in the body of the report where it would clearly get more attention.
In his email on the subject, McCabe seemed to be speaking on behalf of Comey’s FBI, using the noun “we.”

Referencing Steele’s charges, McCabe wrote:
We oppose CIA’s current plan to include it as an appendix; there are a number of reasons why I feel strongly that it needs to appear in some fashion in the main body of the reporting, and I would welcome the chance to talk to you about it tomorrow.
Comey himself personally approved of the inclusion of Steele’s wild claims in the ICA assessment, an email published in the IG report discloses. The IG report relates that the CIA did not want Steele’s claims to be included at all, downgrading Steele’s charges to “internet rumor.” Still, Comey and McCabe pushed for the wild anti-Trump claims to be part of the ICA assessment, which was ultimately made public.
The ICA was a joint effort of the FBI, NSA and CIA with oversight from the Office of the Director of National Intelligence (ODNI), which published the report.
Comey, former CIA Director turned anti-Trump activist John Brennan and former Director of National Intelligence and Trump critic James Clapper have been the subjects of a dispute over which top Obama administration officials advocated for the infamous Steele dossier to be utilized as evidence in the ICA report.
Now the IG report cites emails from Comey and McCabe as well as testimony from members of the intelligence community showing it was Comey and McCabe who lobbied for Steele’s wild sexual claims about Trump to be part of the official ICA probe.

Steele’s dossier infamously claimed that while Trump was staying in the presidential suite at the Ritz Carlton Hotel in Moscow in 2013, the real estate mogul hired “a number of prostitutes to perform a ‘golden showers’ (urination) show in front of him.” The dossier claimed Trump wanted to “defile” the bed because he learned that President Obama had used the same suite during a trip to Russia.
Steele was hired to produce his material for Fusion GPS, which was paid for its anti-Trump work by Trump’s primary political opponents, namely Hillary Clinton’s 2016 presidential campaign and the Democratic National Committee (DNC) via the Perkins Coie law firm.

A December 16, 2016 email from the FBI’s Intel Section Chief made clear McCabe was arguing for the wild sexual claims to be included in the official ICA report.
Referring to McCabe as “deputy director,” the section chief wrote that McCabe wanted “details like the potential compromising material, etc.” to be included in the FBI’s official submission to the intelligence community for material to be considered for the ICA report.
That same day, the FBI’s Intel Section Chief sent an email to other FBI officials including controversial FBI employee Peter Strzok. The missive contained a draft of the FBI’s official submission to the ICA effort that included Steele’s unsubstantiated claims.

The next day, Comey completed his review of the FBI’s official submission and personally approved of Steele’s dossier reports to be included in the ICA assessment.
In an email to Strzok, McCabe and others, Comey described a phone call he had with then Director of National Intelligence James Clapper, writing that he told Clapper to include the Steele reports.
“Looks okay to me,” Comey wrote, approving of the FBI submission that encompassed Steele’s dossier charges.
Comey’s email continued:
FYI: During a secure call last night on this general topic, I informed the DNI that we would be contributing the [Steele] reporting (although I didn’t use that name) to the IC [Intelligence Community] effort. I stressed that we were proceeding cautiously to understand and attempt to verify the reporting as best we can, but we thought it important to bring it forward to the IC effort.
Comey went on to document that he vouched for Steele’s so-called sources while admitting that he didn’t tell Clapper about FBI efforts to verify the claims. The FBI at the time could not verify the charges.
Comey wrote:
I told him the source of the material, which included salacious material about the President-Elect, was a former [REDACTED] who appears to be a credible person with a source and sub-source network in position to report on such things, but we could not vouch for the material. (I said nothing further about the source or our efforts to verify).
Comey may have even more egg on his face for vouching for Steele’s alleged sources following the publication of the IG report, which relates that Comey’s own FBI found serious sourcing problems and glaring issues with the way Steele reported the “pee” claim.
Meanwhile, Comey’s FBI fought back against attempts by the CIA to remove Steele’s claims from the ICA report.
The IG report reveals the CIA expressed concern about using the Steele election reporting in the ICA assessment, with the CIA viewing Steele’s claims to be no more than “internet rumor.”
States the IG report:
The Supervisory Intel Analyst explained that the CIA believed that the Steele election reporting was not completely vetted and did not merit inclusion in the body of the report. The Intel Section Chief stated that the CIA viewed it as “internet rumor.”
That’s when McCabe stepped in and strongly pushed for Steele’s claims to be including in the body of the ICA report and not relegated to the appendix as part of a comprise with the CIA.
“McCabe’s view did not prevail,” the IG report relates. “The final ICA report was completed early in the first week of January 2017, and included a short summary and assessment of the Steele election reporting, which was incorporated in an appendix.”
Comey, Brennan and Clapper were previously the subjects of a dispute about which senior official advocated for Steele’s dossier to be included in the ICA report.
The fiasco was kicked into high gear after Fox News cited “sources familiar with the records” pointing to an email chain from late-2016 showing Comey allegedly telling FBI employees that it was Brennan who insisted that the anti-Trump dossier be included in a January 6, 2017 U.S. Intelligence Community report, known as the ICA, assessing Russian interference efforts.
A former CIA official, clearly defending Brennan, shot back at the assertion, instead claiming that it was Brennan and Clapper who opposed a purported push by Comey to include the dossier charges in the ICA.
The IG report shows it was indeed Comey who pushed for the dossier’s inclusion in the ICA material.
Aaron Klein is Breitbart’s Jerusalem bureau chief and senior investigative reporter. He is a New York Times bestselling author and hosts the popular weekend talk radio program, “Aaron Klein Investigative Radio.” Follow him on Twitter @AaronKleinShow. Follow him on Facebook.
Joshua Klein contributed research to this article."
3,Breitbart Media,Conservative,"DUBAI, United Arab Emirates (AP) — Iranian demonstrators defied a heavy police presence Sunday night to protest their country’s days of denials that it shot down a Ukrainian passenger plane carrying 176 people, the latest unrest to roil the capital amid soaring tensions with the United States.
Videos posted online showed protesters shouting anti-government slogans and moving through subway stations and sidewalks, many near Azadi, or Freedom, Square after an earlier call for people to demonstrate there. Other videos suggested similar protests were taking place in other Iranian cities.


Riot police in black uniforms and helmets earlier massed in Vali-e Asr Square, at Tehran University and other landmarks. Revolutionary Guard members patrolled the city on motorbikes, and plainclothes security men were also out in force. People looked down as they walked briskly past police, hoping not to draw attention to themselves.
The plane crash early Wednesday killed everyone on board, mostly Iranians and Iranian-Canadians. After initially pointing to a technical failure and insisting the armed forces were not to blame, authorities on Saturday admitted to accidentally shooting it down in the face of mounting evidence and accusations by Western leaders.
Iran downed the flight as it braced for possible American retaliation after firing ballistic missiles at two bases in Iraq housing U.S. forces. The missile attack, which caused no casualties, was a response to the killing of Gen. Qassem Soleimani, Iran’s top general, in a U.S. airstrike in Baghdad. But no retaliation came.

Iranians have expressed anger over the downing of the plane and the misleading explanations from senior officials in the wake of the tragedy. They are also mourning the dead, which included many young people who were studying abroad.
“Even talking about it makes my heart beat faster and makes me sad,” said Zahra Razeghi, a Tehran resident. “I feel ashamed when I think about their families.”
“The denial and covering up the truth over the past three days greatly added to the suffering and pain of the families, and me,” she added.
Another individual, who identified himself only as Saeed, said Iran’s largely state-run media had concealed the cause of the crash for “political reasons.”
“Later developments changed the game, and they had to tell the truth,” he said.

Earlier Sunday, hundreds of students gathered at Tehran’s Shahid Beheshti University to mourn the victims and protest against authorities for concealing the cause of the crash, the semiofficial ISNA news agency reported.
Bahareh Arvin, a reformist member of the Tehran City Council, took to social media to say she was resigning in protest at the government’s lies and corruption. “With the current mechanism, there is no hope of reform,” she said.

Some Iranian artists, including famed director Masoud Kimiai, withdrew from an upcoming international film festival. Two state TV hosts resigned in protest over the false reporting about the cause of the plane crash.
President Donald Trump, who has expressed support for past waves of anti-government demonstrations in Iran, addressed the country’s leaders in a tweet, saying “DO NOT KILL YOUR PROTESTERS.”
“The World is watching. More importantly, the USA is watching,” he tweeted.

Iranians took to the streets in November after the government hiked gas prices, holding large protests in several cities. The government shut down internet access for days, making it difficult to gauge the scale of the protests and the subsequent crackdown. Amnesty International later said more than 300 people were killed.
A candlelight ceremony late Saturday in Tehran turned into a protest, with hundreds of people chanting against the country’s leaders — including Supreme Leader Ayatollah Ali Khamenei — and police dispersing them with tear gas. Protests were also held in the city of Isfahan and elsewhere.
Police briefly detained the British ambassador to Iran, Rob Macaire, who said he went to the vigil without knowing it would turn into a protest.
“Can confirm I wasn’t taking part in any demonstrations!” he tweeted. “Went to an event advertised as a vigil for victims of #PS752 tragedy. Normal to want to pay respects — some of victims were British. I left after 5 mins, when some started chanting.”
He said he was arrested 30 minutes after leaving the area.
Britain said its envoy was detained “without grounds or explanation” and in “flagrant violation of international law.”
Iran’s Deputy Foreign Minister Abbas Araghchi later tweeted that Macaire was arrested “as an unknown foreigner in an illegal gathering.”
Araghchi said when police informed him that a man was arrested who claimed to be the British ambassador, he didn’t believe them. But he said that once he spoke to Macaire by phone, he realized it was him, and that the ambassador was freed 15 minutes later.
Iran’s Foreign Ministry later summoned the British ambassador over his ”illegal and inappropriate presence” at the protest, it said on its Telegram channel.
Alaeddin Boroujerdi, a member of Iran’s parliamentary committee on national security and foreign policy, accused the ambassador of organizing protests and called for his expulsion. Dozens of hard-liners later gathered outside the British Embassy, chanting “Death to England.” They also called for the ambassador to be expelled and the embassy to be closed.
Iranian media, meanwhile, focused on the admission of responsibility for the crash, with several newspapers calling for those responsible to apologize and resign.
The hard-line daily Vatan-e Emrouz bore the front-page headline “A sky full of sadness,” while the Hamshahri daily went with “Shame,” and the IRAN daily said “Unforgivable.”
Mehdi Karroubi, an opposition activist under house arrest, lashed out at Khamenei himself, saying that as commander in chief he was “directly responsible.”
“If you were aware and you let military and security authorities deceive people, then there is no doubt you lack the attributes of constitutional leadership,” he said in a statement.
Criticism of the supreme leader is punishable by up to two years in prison.
Tensions with the United States eased after the ballistic missile attack, when Trump declined to respond and welcomed Iran’s apparent decision to stand down.
The emir of Qatar, Sheikh Tamim bin Hamad Al Thani, met with Iranian President Hassan Rouhani and other officials Sunday in Tehran. Qatar has warm relations with the U.S. and Iran.
Syrian Prime Minister Imad Khamis was also leading a high-level delegation to Iran, including the defense and foreign ministers. Syrian state media described it as an “important visit” in light of recent events, without elaborating. Iran is a key ally of Syrian President Bashar Assad in his country’s civil war, and Soleimani had mobilized militias and coordinated military aid.
Pakistan’s Foreign Minister Shah Mahmood Qureshi was also traveling to Iran, with plans to visit Saudi Arabia the following day. And Japanese Prime Minister Shinzo Abe was in Saudi Arabia for talks with King Salman as part of a tour of oil-producing Gulf Arab states aimed at promoting peace."
4,Breitbart Media,Conservative,"Samarra (Iraq) (AFP) – Four rockets slammed into an Iraqi airbase north of Baghdad where US troops are based, military sources told AFP on Sunday, with security forces saying four Iraqi airmen were wounded.
A majority of US airmen stationed at the Al-Balad airbase north of Baghdad had already left, the military sources said, following tensions between the US and Iran over the last two weeks.

Military bases hosting US troops have been subject to volleys of rocket and mortar attacks in recent months that have mostly wounded Iraqi forces, but also killed one American contractor last month."
5,Breitbart Media,Conservative,"Tehran (AFP) – Iran’s Revolutionary Guards said Sunday it did not aim to kill US troops when it fired a wave of missiles last week at Iraqi bases hosting American forces.
“Our aim was not really to kill enemy soldiers. That was not important,” the Guards’ commander, Hossein Salami, told parliament, referring to last Wednesday’s missile operation launched to avenge the killing of a top Iranian general."
6,Breitbart Media,Conservative,"On Sunday’s broadcast of ABC’s “This Week,” House Speaker Nancy Pelosi (D-CA) did not rule out the possibility of bringing new articles of impeachment against President Donald Trump.
Host George Stephanopoulos asked, “You said he’s violating the Constitution again and again. Do you think it’s possible that the House might have to file new articles of impeachment?”


Pelosi said,  “Well, let’s just see what the Senate does.”
Follow Pam Key on Twitter @pamkeyNEN"
7,Breitbart Media,Conservative,"On Sunday’s broadcast of CBS’s “Face the Nation,” Rep. Adam Schiff (D-CA) backed Speaker of the House Nancy Pelosi (D-CA), saying if the Senate does not subpoena former National Security Advisor John Bolton, the House will.
Host Margaret Brennan said, “The speaker was on another network today and seemed to leave open the idea of subpoenaing John Bolton, the former national security advisor to the president. Is that something you would be looking at? Are you looking at?”


Schiff said, “It is certainly something we are considering.”

He added, “He offered to come forward and testify. There is no reason not to have him testify unless you just want to cover up the president’s wrongdoing. If McConnell succeeds in making this trial the trial without witnesses, it will be the first impeachment trial in history —where the subject of the trial didn’t reside mid-trial —where they didn’t have witnesses. That is not a fair trial. That’s a sham. That’s a coverup.”
Follow Pam Key on Twitter @pamkeyNEN"
8,Breitbart Media,Conservative,"On Sunday’s broadcast of CBS’s “Face the Nation,” former Secretary of State John Kerry said the media has to “stop dealing with questions on Donald Trump’s lies” about the Obama administration’s Iran deal.
Partial transcript as follows:

KERRY: Well, what I was really saying, I think, first of all, Margaret, you are an expert at this. You were there. You know that the president’s tweet is a lie. And the president tweeted this morning, because I am coming on the show and he knew you’d ask me the question or he’d push you in a place where you did ask the question. You and the media, I think, need to call a lie a lie. You know–
BRENNAN: Mr. Secretary, I asked you that question in 2015 too.
KERRY: –they didn’t get $150 billion. No- no- no. But let me just finish. You know- yes. And I’ll- I’ll answer that. I was saying clearly some money from the budget of Iran is going to go to the IRGC. It always has. That’s no surprise. But the truth is and President Trump- I- I- well, he probably doesn’t know this, but the fact is his own defense intelligence agency in 2017 testified to the Congress that very, very little money actually went to the IRGC at all. Most of the money went to the economy of Iran, which is precisely what I said and what we all said. So, the IRGC has never had a problem getting money. But the fact is Donald Trump keeps saying they got $150 billion. A lie. He keeps saying that all of that money went to pay for it. It did not. His own defense intelligence agency says most of the money went for the economy of the country. So, you know, we have to stop dealing with questions on Donald Trump’s lies and start dealing with the reality of what is going on. The fact is–
BRENNAN: OK.
KERRY: –the vast proportion of that money–
BRENNAN: Yeah.
KERRY: –went to the economy of Iran and they’re always going to be funding the IRGC. There was no question about that.
BRENNAN: Right.
KERRY: And the IRGC budget has not gone up markedly as a result–
BRENNAN: OK.
KERRY: –of what happened with the agreement, period.
Follow Pam Key on Twitter @pamkeyNEN"
9,Breitbart Media,Conservative,"On Sunday’s broadcast of NBC’s “Meet the Press,” Sen. Rand Paul (D-KY) accused the Trump administration of giving “contradictory information” on why the president ordered the killing of former Iranian Quds force commander Gen. Qassem Soleimani.
Paul said, “I think we’ve heard contradictory information. We’ve heard from the secretary of state that they don’t know where or when but it was imminent. That to me does seem inconsistent. He thinks he can square the circle but to me it seems pretty inconsistent.”


He added, “To me there’s a bigger question too, though, and this is what infuriated me about the briefing is they maintain both in private and in public that a vote by Congress in 2003 or 2002 to go after Saddam Hussein was a vote that allows them to still be in Iraq and do whatever they want, including killing a foreign general from Iran. And I don’t think that’s what Congress meant in 2002. Nor do I think one generation can bind another generation. So my point in being for this war powers debate is that we really need to have a debate about whether we should still be in Iraq or Afghanistan, and there needs to be authorization from Congress.”
Follow Pam Key On Twitter @pamkeyNEN"
