LINK,article
https://www.newyorker.com/news/our-columnists/the-us-assassinated-suleimani-the-chief-exporter-of-irans-revolution-but-at-what-price?verso=true,"Over more than two decades, Suleimani, a Shiite, had more impact than the leaders of either Al Qaeda or ISIS, which are both Sunni movements, in shaping the face of the Middle East. To counter U.S. influence in Iraq between 2003 and 2011, he provided Iraqi militants with rockets, bombs, and explosively formed projectiles that could slice through the armor of an American M1 tank.

The United States designated the Quds Force as a supporter of terrorism, in 2007, and Suleimani was personally sanctioned for complicity in a plot to kill the Saudi Ambassador to the United States, in 2011. That same year, he spearheaded a campaign, now in its ninth year, to save President Bashar al-Assad’s regime after civil war erupted in Syria. Suleimani also channelled arms and aid to Hezbollah in Lebanon, orchestrating its franchise operations in other Middle Eastern countries, and aided Houthi rebels in Yemen. He cultivated militia proxies in Pakistan and Afghanistan, thousands of whose members were deployed to fight in Syria. Suleimani gained fame for taking selfies—later posted on social media—on the front lines of regional conflicts where his Quds Force and their allies were deployed. Many went viral.
Suleimani’s death capped a week of hostilities that escalated with lightning speed after a U.S. military contractor was killed in a rocket attack by Kata’ib Hezbollah, one of the most powerful Iranian-backed militias in Iraq, on December 27th. The attack was the group’s eleventh in recent weeks, the U.S. claimed. On December 29th, the Pentagon responded with five air strikes—three in Iraq and two in Syria—on Kata’ib Hezbollah’s bases. The group’s supporters responded by attacking the U.S. Embassy in Baghdad, which is the largest and most fortified diplomatic mission in the world.

Kata’ib Hezbollah has been an increasingly important militia since it emerged, under Iranian tutelage, in 2004. After ISIS swept through Iraq, in 2014, it merged with dozens of other Shiite militias in the Popular Mobilization Forces to fight the Islamic State caliphate—with Iranian aid, arms, and Suleimani’s strategic advice. ISIS was the one issue on which Iran and the U.S. had common cause. Along with the rest of the P.M.F., Kata’ib Hezbollah was incorporated into the Iraqi military, in 2019, yet it continued to carry out its own operations—in defiance of the government and to the frustration of the United States. The militia has also been deployed in Syria as part of Iran’s support for the Assad regime.
The Pentagon provided no initial details on how the attack played out, but the Iranian media reported that Suleimani had just arrived at the Baghdad airport from Lebanon. The U.S. strike also killed Abu Mahdi al-Muhandis, the leader of Kata’ib Hezbollah and deputy chief of the P.M.F. He was “by far the most important P.M.F. leader tied to Iran,” Silliman told me. Iranian news agencies said that Suleimani and Muhandis were leaving the airport in separate cars when both were attacked by rockets fired from a U.S. helicopter. The Tasnim news agency, which has been tied to the Revolutionary Guard in the past, tweeted a photo of a bloodied hand wearing a large ring with an oval red stone, which Suleimani was often photographed wearing. The ring was how his body was identified, Iraqi officials said.
The timing was particularly awkward for the Iraqi government, which has long attempted a delicate balancing act between neighboring Iran and the United States. Since October 1st, protests have swept across the country demanding the ouster of the Prime Minister and the entire political class, and an end to corruption and economic inequality. The protests have also been noteworthy because of their unprecedented demonstrations against Iran’s influence in Iraq. In November, protesters set fire to Iranian diplomatic missions in the Shiite holy cities of Najaf and Karbala.
The U.S. killing of Suleimani and the air strikes on Kata’ib Hezbollah over the weekend are an embarrassment to Iraqi leaders and a challenge to Iraqi sovereignty. They come at a time when Baghdad is gripped by the deepest political crisis since the U.S. invasion ousted Saddam Hussein, in 2003. The Prime Minister, Adel Abdul-Mahdi, a Shiite who spent years in exile in Iran, stepped down and is now playing only a caretaker role. There are already calls for the Iraqi parliament to demand the withdrawal of some five thousand U.S. troops—and hundreds more from more than a dozen coalition neighbors—that are still waging a campaign against ISIS insurgents. In a tweet, in Arabic, Mahdi called the assassination of Suleimani an act of aggression against the “Iraqi state, its government, and its people.” In an ominous signal to Washington, he said the killing was a “breach of the conditions for the presence of U.S. forces in Iraq.” The Iraqi Parliament is due to debate the U.S. military presence and vote on whether it should continue when it reconvenes, but the Prime Minister has the ultimate say as Commander-in-Chief, Silliman said.
"
https://www.newyorker.com/news/q-and-a/how-anti-semitism-rises-on-the-left-and-right?verso=true,"ate crimes against Jews have been on the rise around the country for several years, but this past month saw a spike in violence in the New York area. On December 10th, three people were fatally shot at a kosher supermarket in Jersey City, along with a police officer who was killed nearby. Eighteen days later, five people were stabbed at a Hanukkah celebration in an Orthodox community in Rockland County. In December, police also filed hate-crime charges against several people who attacked Orthodox Jews on the streets of Manhattan and Brooklyn. According to the Times, of the hate crimes that were reported to the New York City Police Department in 2019, more than half were directed at Jews.

There have also been increased attacks on other racial and religious groups; hate crimes against African-Americans remain the most common racially motivated hate crimes, and there has been a significant rise in violence against Latinos and the transgender community in recent years. To what extent can anti-Jewish violence be tied to other hate crimes, and to what extent should it be understood as having a distinct history and motivations? To discuss these questions, I recently spoke by phone with David Nirenberg, the dean of the Divinity School at the University of Chicago, who has written extensively on the history of anti-Semitism. During our conversation, which has been edited for length and clarity, we discussed why prejudice against Jews seems to arise in so many different eras and contexts, and the unhelpfulness of always thinking about anti-Semitism as a manifestation of politics.

Some historical eras, including ones you have written about, have been characterized by their relationship to anti-Semitism. Does it feel like we are in an era worth defining as such, and, if so, how would you characterize it?

Yeah, it does feel to me like we are in an era worth defining in terms of anti-Semitism or anti-Judaism, by which I mean we are in an era where many different societies are reviving ways of explaining the complexity of the world in terms of the dangers posed by Judaism or Jews. It is not always real Jews. There are many societies that spend a lot of time thinking about Jews and Judaism where there are no Jews actually living today. And I think we are definitely in a period in which more and more registers of multiple societies are thinking in those ways. We often think of anti-Semitic periods as periods in which thinking about Judaism is a convincing way of explaining what’s wrong with the world to people on many parts of the political spectrum, like in Europe in the first half of the twentieth century. And I think we are similarly in such a period today.

Do you think it is worth thinking of anti-Semitism today as akin to the prejudices that afflict many different religious and ethnic minorities, such as Muslims or Hispanics in the United States? Or is it distinct in important ways?

That’s a really tough question, and, in some ways, I hate to distinguish between different forms of prejudice or hate. When you think about some of the most enduring prejudices—for example, the asymmetries of power between men and women—these are structural aspects of our global society. But I do think anti-Semitism is distinctive in certain ways. One of those ways is that it really does transcend particular political contexts. There aren’t a great number of Jews in Hungary or Poland, but thinking about Jews is a crucial part of nationalism—or anti-globalization or whatever you want to call it—in Hungary and Poland today. And I think that’s different from the way most of the other groups you mentioned are used in the world’s imagination.

This is a really difficult topic to think about, and I would like to think we are each entitled to study our own hate without having to study all the others. But we can see symptoms of a distinction in our own age. I don’t think, for example, that people in many parts of the world where there aren’t Muslim immigrants are thinking really centrally about their own society in terms of Islam, and I would say the same thing might be true of some racial prejudices that are central to the United States but don’t play a very large role in other societies. But what’s curious about anti-Semitism or anti-Judaism is how it can be put to work by many societies that really have nothing to do with living Jews or Judaism.

When many of the people in these societies think about immigration, even though the problem they see isn’t Jews immigrating to these societies, they do think about Judaism in order to explain the immigration they see as threatening their society. So, in the United States, France, Hungary, and many other places, replacement-theory ideologies explain replacement in terms of the machinations of the Jews, or the Jewish global order. Anti-Judaism is actually a system of thought that people can use to explain many of the challenges they face, even when there are no Jews around. And that has a flexibility that, in the worst moments, allows many parts of society to agree that Jews are the problem in a way you don’t always see coalescing around other distinctions.

You mentioned Poland and Hungary, and what you say seems convincing. But it’s probably not coincidental that both of those countries are seeing a type of right-wing xenophobia that is not just focussed on Jews. Even though there is something unique about anti-Semitism, does it rise and fall with political trends?

I think that is absolutely right about anti-Semitism, even though I am going to keep using “anti-Judaism.” I think it is more important to understand the system of thought that understands the challenges one confronts as posed by Judaism—that’s anti-Judaism—than it is to understand the focus of anti-Semitism on real Jews who need to be attacked or defeated. I don’t think we can understand the power of anti-Semitism if we don’t first understand that vast system of thought—which was transmitted and taught by Christianity and Islam and many different kinds of thoughts, and many different kinds of philosophy, from idealism to Marxism, which really understood capital or materialism or legalism or greed in terms of Judaism. So once you understand that system of thought, you can understand why it is possible for people to imagine that their world is threatened by Judaism, even when they have no real Jews around them to be anti-Semitic toward.

But back to your original question. I think that, in every moment in which anti-Semitism really becomes an organizing principle in society, and anti-Judaism starts to do a lot of work in society, it is because of political polarizations, economic stresses, et cetera, which make that language of anti-Judaism so useful as a system of thought. Every context is different, every period is different, but the reason that anti-Semitism can be put to work in so many contexts and periods is because anti-Judaism is such an integral part of the ways we have learned to imagine the challenges we face in the material world.

What would be an example of people in the twenty-first century using anti-Judaism to describe how they see the world?"
https://www.newyorker.com/news/letter-from-trumps-washington/the-houses-sad-predictable-partisan-and-historic-impeachment-of-donald-trump?verso=true#intcid=recommendations_the-new-yorker-bottom-recirc-similar_4ec1d452-d6cf-4838-89c4-ad9ff650c8dc_text2vec1_text2VecSimilarity,"There was no such reckoning this time. The impeachment of Trump turned out to exclude the unanticipated; it was another day of impasse between an unrepentant President and a recalcitrant Democratic House. The feeling in the capital was one of resignation, with the conclusion so predicted and so predictable that it seemed less of a crisis than Clinton’s long-ago impeachment, not more. And yet the impeachment of Trump is arguably more consequential, in every way, for American democracy: a sign of a country in the midst of an ongoing political crisis that this President, unlike his impeached predecessor, welcomes and exacerbates. Clinton had begun his second term in office vowing to be the “repairer of the breach,” and, if he did not do that, Clinton did express contrition and remorse, which he may or may not have felt, on the eve of his impeachment. He vowed to move on.

That is not Donald Trump’s way. Minutes after Pelosi banged down the gavel on his impeachment, the President was onstage in Michigan, musing out loud about the late, legendary Michigan representative John Dingell looking up from hell as his wife, Debbie Dingell, voted with the Democrats to impeach. Trump will never say that he is sorry, and his supporters will never demand it of him. On the House floor, Barry Loudermilk, a little-known Trump devotee from Georgia, actually claimed that Trump was being treated worse than Jesus had been by the Roman prefect who ordered his execution. This was laughable, but in some ways the Republicans were almost all Barry Loudermilks on Wednesday, endorsing an array of fanciful excuses for the President that were just as implausible, if not so comically ahistorical. It was McCarthyism, a day that would live in infamy, like Pearl Harbor, they said. Trump never demanded that Ukraine investigate his political rival Joe Biden. Trump is a noble anti-corruption crusader.

The fight now heads to the Senate, where the Republican majority is expected to offer another all but unanimous G.O.P. vote to acquit Trump, following a trial that has little prospect of featuring a single witness. Pelosi, in fact, hinted, on Wednesday night, that she is not ready to send over the articles of impeachment just yet; “we’ll see,” she said, whether Republicans in the other chamber are really ready to have a fair trial. But, whenever a Senate trial happens, it’s certain that Trump will claim complete and total vindication from it, and that Democrats will blame Senate Republicans for failing to hold him to account. With the result in so little suspense, Washington has been consumed in recent days by the politics of this presumed outcome, reading the latest batch of polls as if they were runes from the future that can reveal how this all plays out in the 2020 election. But that is, as yet, unknowable. For now, what the polls show is exactly what Wednesday’s impeachment debate showed: the stubborn, unyielding reality of a country divided, of an America whose views are fixed about Trump and about everything else."
https://www.cnn.com/2020/01/07/politics/bernie-sanders-joe-biden-2020-democratic-primary/index.html,"Interviews like the one Sanders gave to Cooper on Monday night suggest that he won't make that mistake again. (Sidebar: Campaigns -- all campaigns -- are about choices between candidates. Highlighting your strengths is of value, yes. But so too is noting your opponents' weaknesses -- and why they should matter to voters.)
Sanders has clearly read up on Biden's looooong voting record -- supported the invasion of Iraq, backed NAFTA, advocated for a bankruptcy bill -- and is beginning to roll out the clear contrast between the former vice president's record on those issues and his own. (Sanders is helped in all of this because he was in the Senate contemporaneously with Biden and can point to moments where the two differed.) The next question for Sanders will be whether he puts these critiques in television ads in places like Iowa and New Hampshire as the votes in both of those states near.
Whether Sanders continues to take the case to Biden remains to be seen. Ditto whether he will wind up as the Democratic nominee. But what is less ambiguous is that Sanders is in far better position to become the Democratic standard-bearer than most people -- including most Democrats -- expected him to be even as recently as last fall. And the Iowa caucuses are only 27(!!) days away."
https://www.cnn.com/2020/01/07/politics/us-closer-sending-asylum-seeking-migrants-honduras/index.html,"""Violent crime, such as homicide and armed robbery, is common,"" the advisory reads. ""Violent gang activity, such as extortion, violent street crime, rape, and narcotics and human trafficking, is widespread.""
Over the past year, the administration has rolled out a series of policies intended to curtail people from claiming asylum in the United States. Many of those changes targeted Central Americans, who were increasingly coming to the US-Mexico border to claim asylum.
However, as the number of Central Americans arriving at the US southern border declined in recent months, the administration has become increasingly concerned with an increase in Mexican nationals illegally crossing into the US."
https://www.cnn.com/2020/01/03/opinions/trump-biggest-foreign-policy-crisis-yet-bergen/index.html,"A consistent theme of Donald Trump's presidency is how the seemingly endless post-9/11 wars in the greater Middle East have wasted trillions of dollars.
Trump believes he was elected, in part, to draw down from these wars -- and in the past year he has done just that, both in Afghanistan and in Syria.
Then came Thursday's air strike, ordered by Trump, that killed arguably the most important commander in the Middle East, the Iranian general, Qasem Soleimani.

As global affairs analyst Max Boot pointed out Friday on CNN, the US has not killed a senior military leader of another country since 1943, when it shot down the plane carrying Admiral Isoroku Yamamoto, the mastermind of Pearl Harbor.
This represents a serious escalation of the long-simmering confrontation between the United States and Iran, since Soleimani was effectively the leader of Iran's armed forces.
Iran's Supreme Leader, Ayatollah Ali Khamenei, has vowed to avenge Soleimani's death.
And given Iran's proxies across the Middle East -- from Lebanon to Iraq, from Syria to Yemen -- as well Iran's substantial military and ballistic missile capabilities, it's a threat that must be taken seriously.
Indeed, on Friday, the United States urged the evacuation of all US citizens from Iraq immediately.


And Trump now faces what is likely the most significant foreign policy crisis of his presidency -- part of which he has created for himself.
To paraphrase Leon Trotsky: You may not be interested in the wars of the Middle East, but those wars are interested in you.
But Trump is not the first American president to learn how difficult it can be to fully extricate the US from the region.
President Jimmy Carter was confronted by the hostage crisis at the US embassy in Tehran that helped contribute to his one-term presidency.
President Ronald Reagan had to pull back from Lebanon after 241 US servicemen were killed in Beirut by a truck bombing in 1983 that was mounted by the Iran-backed Hezbollah militia.
And Reagan's presidency was nearly derailed by the harebrained Iran-Contra scheme to swap arms with Iran in return for American and European hostages that were held by Hezbollah in Lebanon.

President George H.W. Bush had to respond to Saddam Hussein's invasion of Kuwait in 1990 that seemed to also threaten neighboring Saudi Arabia by sending hundreds of thousands of American soldiers to expel Saddam from Kuwait.
Bill Clinton's presidency saw the rise of al Qaeda. On Clinton's watch, the terrorist group bombed two US embassies in Africa, killing more than two hundred people in 1998.
Two years later, the group attacked the USS Cole in Yemen, killing 17 American sailors.
9/11 was one of the hinge events of American history. As a result, President George W. Bush launched a war in Afghanistan against al Qaeda and the Taliban -- and also a war of choice two years later in Iraq.
President Barack Obama dramatically increased the covert CIA drone campaign targeting al Qaeda in Pakistan and in Yemen.

Obama also oversaw the withdrawal of US troops from Iraq in 2011. Three years later, after ISIS was almost at the gates of Baghdad, Obama sent thousands of American troops back into Iraq to combat the terrorist army.
Trump's natural inclination is to get out of the Middle East, but just like every other American president over the past four decades, he is now being pulled back in. Indeed, Trump himself has contributed to this crisis by pulling out of the Iran nuclear deal.
On October 3, 2017, Trump's then-Secretary of Defense Jim Mattis testified before the Senate Armed Services Committee that Iran was adhering to the nuclear agreement. When Sen. Angus King, an independent, asked Mattis whether he believed the deal was in US national security interests, Mattis replied, ""Yes, Senator, I do.""
But Trump had asserted for the past two years that the Iran agreement was the ""worst deal ever,"" and so in 2018 he pulled out of the deal. He also added new sanctions that have devastated the Iranian economy and contributed to widespread street protests against the regime.
Iran announced in July that it was breaching the terms of the nuclear deal by enriching uranium beyond the 3.67% purity allowed by the agreement, enriching it above 4.5%.
This was still a very long way from the 90% purity that would be needed for a nuclear weapon, but it was a small step down the road to reactivating Iran's nuclear weapons program -- the program that Trump had repeatedly said he would never allow.
Since June, Iran has been punching back in other ways, bringing down an unmanned US surveillance drone and allegedly attacking some of the world's most important oil facilities in Saudi Arabia (an attack it denies carrying out), while Iran-backed militias have also attacked American bases in Iraq.
Now the United States and Iran stand on the brink of a war that neither side really wants, but Iran likely feels it must respond in a meaningful way to the killing of Soleimani.
As a result, both sides may go up the ""escalatory ladder"" to a wider conflict.
"
https://www.cnn.com/2020/01/07/media/oval-office-meeting-trump-saudi-arabia/index.html," 
The White House faced sharp criticism from journalists on Tuesday after they learned that an Oval Office meeting between President Trump and Saudi Vice Minister of Defense Khalid bin Salman had not been publicly disclosed.
The public only learned about the Monday meeting between the two leaders after a statement and photos were released by Saudi Arabia.

Saudi Deputy Minister of Defense Khalid bin Salman, arrives at the Department of State for a meeting with Secretary of State Mike Pompeo on January 06, 2020 in Washington, DC.
""A meeting with a foreign leader in the Oval Office should, at the very least, be on the public schedule with a read-out of the meeting released after it is over,"" Jon Karl, the president of the White House Correspondents' Association, said in a statement. ""This has been the long-standing precedent for presidents of both political parties.""
Karl added, ""It is disturbing to see the government of Saudi Arabia have more transparency than the White House about a meeting with the President in the Oval Office.""
Bin Salman, who is the younger brother of the crown prince Mohammed bin Salman, tweeted Tuesday morning that during the meeting he and Trump reviewed ""aspects of our bilateral cooperation, including efforts to confront regional an international challenges.""


Upon directives from HRH the Crown Prince, I had the pleasure of meeting with @RealDonaldTrump yesterday to deliver a message from the Crown Prince, and review aspects of our bilateral cooperation, including efforts to confront regional and international challenges.

Saudi Arabia is a key US ally in the Middle East where tensions have escalated in recent days after a US drone strike ordered by President Trump killed the top Iranian commander, Qasem Soleimani.
Stephanie Grisham, the White House press secretary, did not immediately respond to questions about why the meeting was not publicly disclosed.
A formal readout of the meeting has still not been released by the White House, as is customary when the President meets with a foreign leader.
Trump, however, tweeted after the meeting had become public, describing it as ""very good.""
""We discussed Trade, Military, Oil Prices, Security, and Stability in the Middle East!"" Trump said in his tweet."
https://www.cnn.com/2020/01/07/politics/donald-trump-jr-hillary-clinton-rifle/index.html,"A photo of President Donald Trump's oldest son smiling while holding a semi-automatic rifle bearing medieval symbols and a cartoon of Hillary Clinton behind bars drew swift attention over the weekend, with hate group researchers pointing out that the medieval symbols have been embraced by extremist groups.

Donald Trump Jr. posted the photo Sunday on Instagram with a nod in the caption to the controversial design, which included a Crusader Cross -- also known as a Jerusalem Cross -- and helmet on the lower receiver, as well as a magazine featuring the image of the former secretary of state and Democratic presidential nominee.
""Nice day at the range. @rarebreedfirearms and @spikes_tactical adding a little extra awesome to my AR and that mag,"" Trump Jr. wrote, tagging the companies that design and sell the gun.
While symbols and references to the Crusades still hold religious and historical significance -- the Crusader Cross is included on the flag of the country Georgia -- far right groups have seized upon them, using them to represent an anti-Muslim ideology, according to the Anti-Defamation League and the Southern Poverty Law Center, two organizations that study hate groups.
A spokesman for Trump denied on Monday that the symbol on the gun, named by its manufacturer the Crusader Rifle, carried a white supremacist meaning and cited its presence on the Georgian flag and on a medal bestowed by the Pope.
""Symbols on firearms depicting various historical warriors are extremely common within the 2nd Amendment community. Don's Instagram post was strictly about him using a famous meme to mock Hillary Clinton, as he and many others have done on numerous occasions and will surely do again in the future, so long as it continues triggering humorless liberals,"" Trump spokesman Andy Surabian told CNN.
An avid hunter, Trump has posted other images of himself with weapons on his social media feeds. His affinity for controversial memes has helped bolster his own popularity among a Republican Party reshaped by his father.
History of the symbols
Symbols and references to the Crusades -- the Middle Ages campaign by Christian armies to reclaim the Muslim-controlled Holy Land -- have circulated for years inside the far right movement, making appearances in a manifesto written by a far-right gunman who killed dozens in Norway in 2011.
""The adoption of these symbols is meant largely as a way of signaling anti-Muslim sentiment in particular, but also this notion that Christianity needs to retake western civilization,"" said Howard Graves, a senior research analyst at the SPLC.
The gun companies that make and sell the Crusader rifle say it was inspired by history.
Rare Breed Firearms -- the manufacturer of the gun -- did not respond to a request for comment, but says on their website that the design was ""inspired by some of the most fierce warriors who fought in nearly 200 years of epic conflicts known as the Crusades.""
""This lower honors the warrior mindset. Technology evolves, warriors never change,"" the company wrote.
In an email, the CEO of Spike's Tactical -- the Florida company that sells the Crusader gun -- said that the gun and another AR with a Spartan helmet on it that they sell were ""referencing famed historical soldiers"" and are of a design that are ""common among gun manufacturers, popular with gun owners throughout the country and have nothing to do with political ideology.""
""It's objectively silly and dishonest for leftwing groups, like the SPLC, to claim that this symbol on our Crusader model has anything to do with hate or an extremist ideology. In other words, these people have no idea what they're talking about and should apologize for their outrageous smears,"" Cole Leleux, the CEO, said.
Spike's Tactical drew criticism in 2015 when they sold another AR model that a company spokesman told news outlets at the time was built to ensure it ""would never be able to be used by Muslim terrorists to kill innocent people or advance their radical agenda.""
That gun, also called the Crusader, featured an etching of a Bible verse as well as the Latin phrase ""Deus Vult,"" another medieval term meaning ""God wills it"" that has recently become a rallying cry for white supremacists, according to hate group researchers.
Dan Zimmerman, the managing editor of The Truth About Guns, a website about firearms with a pro-gun leaning, told CNN that adorning guns with symbols is not common, but called it a ""niche design that some people find attractive.""
""There are all kinds of designs for AR lowers, from skulls to Sparta helmets,"" Zimmerman said.
A spokesman for the ADL, Jake Hyman, said the Sparta helmet symbol has also been co-opted by some right-wing extremists, and symbols like the Crusader Cross have recently been used to deface mosques in the US, according to Graves. The man accused of killing scores of Muslims at prayer in Christchurch, New Zealand, last year inscribed his weapons with references to the Crusades.
When white supremacists appeared in the Charlottesville march with shields bearing a red cross and the words ""Deus Vult,""a coalition of Medieval scholars groups denounced what they called an ""appropriation"" of medieval symbols in a ""fantasy of a pure, white Europe that bears no relationship to reality.""
""As scholars of the medieval world we are disturbed by the use of a nostalgic but inaccurate myth of the Middle Ages by racist movements in the United States,"" the groups wrote.
White supremacist voices have gained prominence in recent years, with analysts like the ADL and SPLC pointing to the President's refusal to condemn racial violence by alt-right protesters at a 2017 rally in Charlottesville, Virginia, as emboldening the movement.
After wide blowback to his remarks on Charlottesville, Trump later called neo-Nazis, white supremacists and other hate groups ""repugnant to everything we hold dear as Americans"" and a month later, he signed a resolution condemning white supremacy."
https://www.cnn.com/2019/12/11/politics/arrests-brazilian-migrants-spiked-2019-border-surge/index.html,"The number of Brazilians arrested by US Border Patrol nationwide spiked this past year to around 18,000, up from approximately 1,600 the year prior, according to data provided by Customs and Border Protection and historical data.
The number of arrests far surpassed any year going back to 2007. The previous high was around 3,200 in fiscal year 2016, based on available data. The uptick in Brazilians entering the US illegally came amid an overall surge of migrants arriving at the southern border driven in large part by Central American migrant families heading to the US.
Acting Homeland Security Deputy Secretary Ken Cuccinelli said Tuesday during a briefing at the State Department's Foreign Press Center that the US is in ""ongoing discussions"" with Brazil over a growing number of its nationals arriving at the US-Mexico border.
During the first two months of fiscal year 2020 -- October and November -- just over 3,000 Brazilians were apprehended by Border Patrol, keeping on pace with last year's numbers.

""We do have an open dialogue with them. Immigration issues continue to be discussed actively with Brazil. I will note that we are seeing more Brazilians show up at the southern border and that's increasing the intensity on the US side to that part of the challenge that we're facing right now,"" Cuccinelli said in response to a question about whether the US plans to strike an agreement with Brazil similar to the one with Guatemala.
In recent months, the administration has been in discussions with the Northern Triangle countries of Guatemala, Honduras and El Salvador to send migrants seeking asylum at the US-Mexico border to those countries. In November, the Trump administration sent the first migrant to Guatemala as part of its agreement with the country to accept asylum-seeking migrants from the US.
The policies rolled out this past year to deter migrants from approaching the US-Mexico border have largely excluded Brazilians.
Overall, more than 850,000 migrants were apprehended on the southern border in 2019. There was an increase in migrants from South American countries, particularly Brazil, as well as Ecuador and Venezuela, according to the new data.
In fiscal year 2019, Border Patrol apprehended 13,198 Ecuadorians, compared with 1,613 in 2018. There were 2,257 Venezuelans apprehended this past year, up from 126 the year prior.
Neither Customs and Border Protection nor the Department of Homeland Security provided additional details or analysis on the reason behind the spike in these arrests.
Paulo Sotero, director of the Wilson Center's Brazil Institute, told CNN that Brazil has faced economic woes for years, with high unemployment and low growth, leading to an ongoing migration to the US.
""This is a country, even in times like this, when you have a leader talking about building walls, is the country most attractive to immigrants in the world, illegal or legal,"" he said about migration to the US.
The 2018 Brazilian presidential election, which elevated Jair Bolsonaro, was an important event, said Sotero, given that the new government made unfulfilled promises about creating economic opportunities and opening up markets.
Bolsonaro's win came amid a prolonged recession, rising crime rates and widespread corruption scandals and followed one of the most polarizing and violent political campaigns in Brazil's history.

ICE arrests dropped in the past year amid southern border crisis
Acting Customs and Border Protection Commissioner Mark Morgan said Monday that the administration's focus last year was on addressing the surge in families from Northern Triangle countries. However, he said, the agency is also monitoring an increase in Mexican families, as well as arrivals of migrants from Brazil, Haiti and African countries.
Smugglers and cartels are ""constantly modifying their approach to continue to make money and exploit migrants from everywhere,"" said Morgan.
Morgan also said the agency was considering expanding the Migration Protection Protocols program, also known as ""Remain in Mexico,"" to additional demographic populations. The program allows the administration to send migrants to Mexico while they await their immigration court proceedings in the US.
Only migrants from Spanish-speaking countries have been enrolled in the program, therefore Brazilians have been excluded, according to a DHS source.
""We're confident that the kind of same approach and same initiatives that we are applying with Northern Triangle countries' families, specifically, that we're going to be able to apply those same initiatives with other demographics as well,"" said Morgan.
"
https://www.cnn.com/2019/12/17/politics/gun-research-congress-spending-bill-cdc-trnd/index.html,"The $25 million for federal research into gun violence that's included in the massive spending bill agreed to on Capitol Hill represents the first time in over two decades that Congress has allocated funding for the issue.
The House voted Tuesday to approve the nearly $1.4 trillion spending deal that includes $12.5 million for the Centers for Disease Control and Prevention and $12.5 million for the National Institutes of Health. The funding comes as the nation continues to grapple with the effects of frequent mass shootings.


""With this investment, the best public health researchers in the country will be put to work to identify ways to reduce injury and death due to firearms,"" Democratic Rep. Nita Lowey, the chair of the House Appropriations Committee who secured the funding in the spending bill, said in a statement.
The provision maintains the long-standing prohibition on any funds being used to advocate or promote gun control.
Now that the spending deal has cleared the House, it will need to be approved by the Senate before it can go to President Donald Trump for his expected signature.
""We applaud Congress for finally providing the critical funding we have been requesting,"" Dr. Georges C. Benjamin, executive director of the American Public Health Association, said in a statement Monday. ""This will support public health research that is essential to answering questions about the best ways to reduce the morbidity and mortality from firearms in the United States.""
Dr. Robert McLean, the president of the American College of Physicians, applauded the funding bill and said in a statement that ""the alarming rate of injuries and deaths related to firearms brings to light the glaring lack of research and data.""
""For over twenty years, we've desperately needed up-to-date research about firearm violence and intervention and prevention strategies to reduce physical as well as emotional injuries caused by firearms,"" McLean said.
""While $25 million is a great start, it pales in comparison to the amount needed to address this public health problem,"" said Dr. Joseph Sakran, the founder of This Is Our Lane, a movement started by physicians in response to the National Rifle Association.
For more than two decades, the CDC has avoided firearms research because of its interpretation of the so-called Dickey Amendment, named after the late Republican Rep. Jay Dickey of Arkansas.
In 1996, Congress passed the Dickey Amendment and removed $2.6 million — the amount the CDC spent on gun research the year prior — from the CDC's budget.
While the legislation doesn't explicitly ban federal research funds from being used for research related to gun violence, it states, ""none of the funds made available for injury prevention and control at the Center for Disease Control and Prevention may be used to advocate or promote gun control.""
The amendment had a chilling effect on gun research at the CDC as the agency held back to avoid losing further funding.
But before he passed away in 2017, Dickey reversed his position and urged the government to carry out research on gun violence.
The National Rifle Association has argued that the amendment itself didn't prevent gun violence research — only advocacy — and therefore does not need any changes.
Last year, Congress passed a spending bill accompanied by language giving a green light to the CDC to research gun violence — although there was no money specifically budgeted for the research.
""While appropriations language prohibits the CDC and other agencies from using appropriated funding to advocate or promote gun control, the Secretary of Health and Human Services has stated the CDC has the authority to conduct research on the causes of gun violence,"" the accompanying instructions stated, referring to Secretary Alex Azar's 2018 comments to Congress.
The Democratic-controlled House in February passed a universal background checks bill, HR 8, which would require background checks on all firearm sales in the country. Senate Majority Leader Mitch McConnell has said he will not bring any gun bill to the Senate for a vote unless Trump says he would sign it into law.
"
